value,unit,component_inchi_0
170.2,Celcius,"InChI=1S/C18H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h3-17H2,1-2H3"
165.0,Celcius,"InChI=1S/C18H38/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3-18H2,1-2H3"
165.0,Celcius,"InChI=1S/C19H32/c1-2-3-4-5-6-7-8-9-10-11-13-16-19-17-14-12-15-18-19/h12,14-15,17-18H,2-11,13,16H2,1H3"
153.0,Celcius,"InChI=1S/C19H38O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h3-18H2,1-2H3"
168.0,Celcius,"InChI=1S/C19H40/c1-3-5-7-9-11-13-15-17-19-18-16-14-12-10-8-6-4-2/h3-19H2,1-2H3"
174.0,Celcius,"InChI=1S/C20H34/c1-2-3-4-5-6-7-8-9-10-11-12-14-17-20-18-15-13-16-19-20/h13,15-16,18-19H,2-12,14,17H2,1H3"
185.4,Celcius,"InChI=1S/C20H40O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h3-19H2,1-2H3"
167.0,Celcius,"InChI=1S/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2,1-2H3"
177.0,Celcius,"InChI=1S/C21H44/c1-3-5-7-9-11-13-15-17-19-21-20-18-16-14-12-10-8-6-4-2/h3-21H2,1-2H3"
193.0,Celcius,"InChI=1S/C22H38/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22/h15,17-18,20-21H,2-14,16,19H2,1H3"
185.0,Celcius,"InChI=1S/C22H46/c1-3-5-7-9-11-13-15-17-19-21-22-20-18-16-14-12-10-8-6-4-2/h3-22H2,1-2H3"
199.0,Celcius,"InChI=1S/C23H40/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-20-23-21-18-16-19-22-23/h16,18-19,21-22H,2-15,17,20H2,1H3"
2.0,Celcius,InChI=1S/C2H3N/c1-2-3/h1H3
-136.0,Celcius,InChI=1S/C2H4/c1-2/h1-2H2
-37.8,Celcius,"InChI=1S/C2H4O/c1-2-3/h2H,1H3"
40.7,Celcius,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
-19.0,Celcius,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3"
98.0,Celcius,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)"
28.0,Celcius,"InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3"
-135.0,Celcius,InChI=1S/C2H6/c1-2/h1-2H3
13.0,Celcius,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
-41.0,Celcius,InChI=1S/C2H6O/c1-3-2/h1-2H3
111.0,Celcius,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2"
-17.0,Celcius,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3"
86.0,Celcius,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2"
34.0,Celcius,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2
-26.0,Celcius,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2"
-108.0,Celcius,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
21.0,Celcius,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2"
