value,unit,component_inchi_0
30.7,-,"InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3"
24.4,-,"InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3"
23.6,-,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3"
47.0,-,"InChI=1S/C6H14O2/c1-4-7-6(3)8-5-2/h6H,4-5H2,1-3H3"
10.0,-,"InChI=1S/C6H14O2/c1-6(2,8-3)4-5-7/h7H,4-5H2,1-3H3"
14.3,-,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H
10.2,-,"InChI=1S/C6H8O/c1-2-6-4-3-5-7-6/h3-5H,2H2,1H3"
10.9,-,"InChI=1S/C6H8O/c1-5-3-4-6(2)7-5/h3-4H,1-2H3"
28.1,-,"InChI=1S/C7H10O/c8-6-7-4-2-1-3-5-7/h1-2,6-7H,3-5H2"
18.4,-,"InChI=1S/C7H10O2/c1-2-8-6-7-4-3-5-9-7/h3-5H,2,6H2,1H3"
6.0,-,"InChI=1S/C7H10O2/c1-3-4-5-6-7(8)9-2/h3-6H,1-2H3/b4-3+,6-5+"
22.0,-,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3"
22.5,-,InChI=1S/C7H12O/c8-7-5-3-1-2-4-6-7/h1-6H2
6.0,-,"InChI=1S/C7H12O3/c1-3-10-7(9)5-4-6(2)8/h3-5H2,1-2H3"
18.2,-,"InChI=1S/C7H12O3/c1-6(8)10-5-7-3-2-4-9-7/h7H,2-5H2,1H3"
32.0,-,"InChI=1S/C7H14/c1-3-5-7-6-4-2/h3H,1,4-7H2,2H3"
23.3,-,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3"
30.0,-,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
15.0,-,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3"
78.9,-,"InChI=1S/C7H14O2/c1-2-8-6-7-4-3-5-9-7/h7H,2-6H2,1H3"
25.3,-,"InChI=1S/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3"
23.6,-,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
18.6,-,"InChI=1S/C7H14O2/c1-3-5-6-7(8)9-4-2/h3-6H2,1-2H3"
53.0,-,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3"
43.5,-,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3"
42.0,-,"InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3"
34.1,-,"InChI=1S/C7H16/c1-4-7(5-2)6-3/h7H,4-6H2,1-3H3"
21.8,-,"InChI=1S/C7H16/c1-5-7(4)6(2)3/h6-7H,5H2,1-4H3"
28.5,-,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3"
12.9,-,"InChI=1S/C7H16/c1-6(2)7(3,4)5/h6H,1-5H3"
29.0,-,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
25.0,-,"InChI=1S/C7H16O/c1-3-4-5-6-7(2)8/h7-8H,3-6H2,1-2H3"
99.8,-,"InChI=1S/C7H16O/c1-3-4-5-6-7-8-2/h3-7H2,1-2H3"
21.0,-,"InChI=1S/C7H16O/c1-3-5-7(8)6-4-2/h7-8H,3-6H2,1-2H3"
36.1,-,"InChI=1S/C7H16O2/c1-3-4-5-9-6-7(2)8/h7-8H,3-6H2,1-2H3"
43.9,-,"InChI=1S/C7H16O3/c1-6(8)4-10-7(2)5-9-3/h6-8H,4-5H2,1-3H3"
80.7,-,"InChI=1S/C7H16O4/c1-9-4-5-11-7-6-10-3-2-8/h8H,2-7H2,1H3"
6.0,-,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
6.4,-,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
19.3,-,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3"
6.2,-,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
7.0,-,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
